SCHOOLYEAR,SCHOOLCODE,COUNTY,PUB-PRIV,PUBLICSCHOOLDISTRICT,CITY,SCHOOLNAME,ENROLLMENT,REPORTED,CATEGORY,COUNT,PERCENT,ANNOTATION
2016-2017,6933717,FRESNO,PRIVATE,,REEDLEY,IMMANUEL SCHOOLS,47,Y,UP-TO-DATE,40,85,
2016-2017,6964753,LOS ANGELES,PRIVATE,,LOS ANGELES,SANTA ISABEL,26,Y,UP-TO-DATE,22,85,
2016-2017,6974356,MARIN,PRIVATE,,CORTE MADERA,MARIN MONTESSORI SCHOOL,27,Y,UP-TO-DATE,23,85,
2016-2017,7045198,SHASTA,PRIVATE,,REDDING,BETHEL CHRISTIAN SCHOOL,39,Y,UP-TO-DATE,33,85,
2016-2017,7071616,SACRAMENTO,PRIVATE,,ELK GROVE,AMERICAN CHRISTIAN ACADEMY - EXT,20,Y,UP-TO-DATE,17,85,
2016-2017,114330,NEVADA,PUBLIC,NEVADA COUNTY OFFICE OF EDUCATION,NEVADA CITY,NEVADA CITY SCHOOL OF THE ARTS,51,Y,UP-TO-DATE,44,86,
2016-2017,128124,SACRAMENTO,PUBLIC,SAN JUAN UNIFIED,SACRAMENTO,GATEWAY INTERNATIONAL,43,Y,UP-TO-DATE,37,86,
2016-2017,129528,CONTRA COSTA,PUBLIC,CONTRA COSTA COUNTY OFFICE OF EDUCATION,RICHMOND,CALIBER: BETA ACADEMY,83,Y,UP-TO-DATE,71,86,
2016-2017,132845,LOS ANGELES,PUBLIC,COMPTON UNIFIED,LOS ANGELES,TODAY'S FRESH START-COMPTON,44,Y,UP-TO-DATE,38,86,
2016-2017,6053722,TRINITY,PUBLIC,DOUGLAS CITY ELEMENTARY,DOUGLAS CITY,DOUGLAS CITY ELEMENTARY,21,Y,UP-TO-DATE,18,86,
2016-2017,6062038,SAN FRANCISCO,PUBLIC,SAN FRANCISCO UNIFIED,SAN FRANCISCO,EVERETT MIDDLE,187,Y,UP-TO-DATE,160,86,
2016-2017,6069553,ORANGE,PUBLIC,ORANGE COUNTY DEPARTMENT OF EDUCATION,COSTA MESA,ORANGE COUNTY SPECIAL EDUCATION,22,Y,UP-TO-DATE,19,86,
2016-2017,6143515,MERCED,PRIVATE,,MERCED,PROVIDENCE CHRISTIAN SCHOOL,21,Y,UP-TO-DATE,18,86,
2016-2017,6934988,LOS ANGELES,PRIVATE,,LOS ANGELES,IMMACULATE HEART HIGH AND MIDDLE SCHOOL,72,Y,UP-TO-DATE,62,86,
2016-2017,6938203,SACRAMENTO,PRIVATE,,FAIR OAKS,SACRAMENTO WALDORF,29,Y,UP-TO-DATE,25,86,
2016-2017,6967525,ALAMEDA,PRIVATE,,LIVERMORE,ST. MICHAEL ELEMENTARY,22,Y,UP-TO-DATE,19,86,
2016-2017,7084502,LOS ANGELES,PRIVATE,,LOS ANGELES,CHEDER MENACHEM,35,Y,UP-TO-DATE,30,86,
2016-2017,102335,LOS ANGELES,PUBLIC,LOS ANGELES UNIFIED,LOS ANGELES,OCEAN CHARTER,39,Y,UP-TO-DATE,34,87,
2016-2017,111773,SANTA BARBARA,PUBLIC,BLOCHMAN UNION ELEMENTARY,SANTA MARIA,FAMILY PARTNERSHIP HOME STUDY CHARTER,23,Y,UP-TO-DATE,20,87,
2016-2017,115089,SAN BERNARDINO,PUBLIC,LUCERNE VALLEY UNIFIED,PLACERVILLE,SKY MOUNTAIN CHARTER,183,Y,OTHERS,159,87,
2016-2017,6119168,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,SAN DIEGO COOPERATIVE CHARTER,55,Y,UP-TO-DATE,48,87,
2016-2017,6911234,SAN BERNARDINO,PRIVATE,,REDLANDS,ARROWHEAD CHRISTIAN ACADEMY -UPPER SCHOOL-REDLANDS CHRISTIAN SCHOOL,61,Y,UP-TO-DATE,53,87,
2016-2017,6936868,NEVADA,PRIVATE,,AUBURN,FOREST LAKE CHRISTIAN SCHOOL,30,Y,UP-TO-DATE,26,87,
2016-2017,101071,SAN DIEGO,PUBLIC,OCEANSIDE UNIFIED,OCEANSIDE,COASTAL ACADEMY,205,Y,UP-TO-DATE,181,88,
2016-2017,106294,SACRAMENTO,PUBLIC,SACRAMENTO COUNTY OFFICE OF EDUCATION,MATHER,SACRAMENTO COUNTY SH SPECIAL EDUCATION,33,Y,UP-TO-DATE,29,88,
2016-2017,112789,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ELMHURST COMMUNITY PREP,131,Y,UP-TO-DATE,115,88,
